Numero,DataOcorrencia,DataFechoOperacional,Natureza,EstadoOcorrencia,Distrito,Concelho,Freguesia,Localidade,Latitude,Longitude,NumeroMeiosTerrestresEnvolvidos,NumeroOperacionaisTerrestresEnvolvidos,NumeroMeiosAereosEnvolvidos,NumeroOperacionaisAereosEnvolvidos,
2018180007441,06/02/2018 21:04:00,06/02/2018 21:30:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,VISEU,SÁTÃO,Sátão,SATÃO,"40,7428847504933","-7,74005009808939",1,2,0,0,
2018150012324,06/02/2018 11:30:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Despacho de 1º Alerta,SETÚBAL,PALMELA,Pinhal Novo,Pinhal Novo,"38,6379018851765","-8,91294003805185",1,2,0,0,
2018100008130,07/02/2018 19:22:00,07/02/2018 20:18:00,Riscos Tecnológicos / Incêndios Urbanos ou em Área Urbanizável / Habitacional,Encerrada,LEIRIA,ALCOBAÇA,São Martinho do Porto,SÃO MARTINHO DO PORTO,"39,509572","-9,133878",4,11,0,0,
2018130021703,07/02/2018 14:02:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Despacho de 1º Alerta,PORTO,GONDOMAR,Fânzeres e São Pedro da Cova,FÂNZERES E SÃO PEDRO DA COVA,"41,15531065","-8,511530654",1,2,0,0,
2018160004777,08/02/2018 21:35:00,08/02/2018 21:53:00,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Limpeza de Via e Sinalização de Perigo,Encerrada,VIANA DO CASTELO,PONTE DE LIMA,"Ardegão, Freixo e Mato",Freixo-EN,"41,6560124801905","-8,58822703292812",1,2,0,0,
2018180007825,08/02/2018 16:15:00,08/02/2018 16:47:00,"Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância",Encerrada,VISEU,VILA NOVA DE PAIVA,Vila Cova à Coelheira,Carvalha,"40,917757640331","-7,79718580235652",1,3,0,0,
2018160004682,08/02/2018 11:52:00,08/02/2018 13:19:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,VIANA DO CASTELO,VIANA DO CASTELO,Mazarefes e Vila Fria,Vila Fria - Viana do Castelo,"41,6691735880345","-8,76323527702355",1,2,0,0,
2018080005760,09/02/2018 20:30:00,09/02/2018 23:01:00,Protecção e Assistência a Pessoas e Bens / Intervenção em conflitos legais / Remoção e/ou Transporte de cadáver,Encerrada,FARO,VILA REAL DE SANTO ANTÓNIO,Vila Real de Santo António,Vila Real de Santo António,"37,188246","-7,422104",1,2,0,0,
2018030011467,09/02/2018 09:57:00,,Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Prevenção a actividades de lazer,Despacho de 1º Alerta,BRAGA,CELORICO DE BASTO,"Britelo, Gémeos e Ourilhe","BRITELO, GÉMEOS E OURILHE","41,39744761","-8,005205073",1,1,0,0,
2018010012339,10/02/2018 18:51:00,10/02/2018 20:30:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,AVEIRO,AVEIRO,São Bernardo,"S. Bernardo - Rua 1º Janeiro, nº66","40,6155360907606","-8,62301388030498",1,2,0,0,
2018150013819,10/02/2018 14:32:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Despacho de 1º Alerta,SETÚBAL,MONTIJO,Montijo e Afonsoeiro,MONTIJO E AFONSOEIRO,"38,7073957791663","-8,99158325883262",1,3,0,0,
2018100008723,10/02/2018 10:01:00,10/02/2018 10:35:00,"Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Busca e Resgate Terrestre, de Animais",Encerrada,LEIRIA,LEIRIA,"Leiria, Pousos, Barreira e Cortes",Telheiro,"39,718552","-8,803702",1,2,0,0,
2018080006057,11/02/2018 20:18:00,11/02/2018 21:05:00,Protecção e Assistência a Pessoas e Bens / Intervenção em conflitos legais / Agressão/Violação,Falso Alarme,FARO,PORTIMÃO,Portimão,PORTIMÃO,"37,137966","-8,532608",1,2,0,0,
2018010012544,11/02/2018 15:08:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Despacho de 1º Alerta,AVEIRO,ESTARREJA,Pardilhó,PARDILHÓ,"40,79667281","-8,624166643",1,2,0,0,
2018070003547,11/02/2018 10:43:00,11/02/2018 12:30:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,ÉVORA,VIANA DO ALENTEJO,Viana do Alentejo,VIANA DO ALENTEJO,"38,3323440806877","-7,99927057150243",1,2,0,0,
2018050006945,11/02/2018 01:38:00,11/02/2018 03:14:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,CASTELO BRANCO,BELMONTE,Caria,CARIA,"40,2987300818988","-7,34743900698155",1,2,0,0,
2018030012432,12/02/2018 17:03:00,12/02/2018 18:05:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,BRAGA,VILA NOVA DE FAMALICÃO,Louro,LOURO,"41,4277723","-8,54135389999999",1,2,0,0,
2018110030900,12/02/2018 02:06:00,12/02/2018 03:48:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Encerrada,LISBOA,VILA FRANCA DE XIRA,Alverca do Ribatejo e Sobralinho,ALVERCA DO RIBATEJO E SOBRALINHO,"38,9057075601275","-9,04025079093059",1,3,0,0,
2018130025165,13/02/2018 15:43:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Despacho de 1º Alerta,PORTO,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau e Vitória","CEDOFEITA, SANTO ILDEFONSO, SÉ, MIRAGAIA","41,1535902627111","-8,61593910965077",1,3,0,0,
2018150014763,13/02/2018 09:28:00,13/02/2018 10:00:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Encerrada,SETÚBAL,MOITA,Alhos Vedros,Arroteias,"38,6444238536409","-9,00949342481528",1,2,0,0,
2018150015271,14/02/2018 19:00:00,14/02/2018 21:10:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,SETÚBAL,MONTIJO,Canha,CANHA,"38,768258324281","-8,63131104174354",1,2,0,0,
2018030012845,14/02/2018 08:24:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Despacho de 1º Alerta,BRAGA,GUIMARÃES,Creixomil,CREIXOMIL - Rua Pedro Álvares Cabral R112,"41,43834776","-8,312208467",1,2,0,0,
